source_brand_raw,source_line_raw,source_paint_name_raw,source_code_raw,target_brand_raw,target_line_raw,target_paint_name_raw,target_code_raw,notes_raw
The Army Painter,Warpaints Fanatic,Skeleton Bone,,The Army Painter,Warpaints Air,Skeleton Bone,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Skeleton Bone,,Warhammer Colour,,Ushabti Bone,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Daemonic Yellow,,The Army Painter,Original Warpaints,Daemonic Yellow,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Daemonic Yellow,,The Army Painter,Warpaints Air,Daemonic Yellow,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Daemonic Yellow,,Warhammer Colour,,Daemonic Yellow,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Lava Orange,,The Army Painter,Original Warpaints,Lava Orange,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Lava Orange,,The Army Painter,Warpaints Air,Lava Orange,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Lava Orange,,Warhammer Colour,,Fire Dragon Bright,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Legendary Red,,Warhammer Colour,,Squig Orange,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Dryad Brown,,The Army Painter,Warpaints Air,Cypress Brown,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Dryad Brown,,Warhammer Colour,,Doombull Brown,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Dragon Red,,The Army Painter,Original Warpaints,Dragon Red,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Dragon Red,,The Army Painter,Warpaints Air,Dragon Red,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Dragon Red,,Warhammer Colour,,Mephiston Red,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Pixie Pink,,The Army Painter,Original Warpaints,Pixie Pink,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Pixie Pink,,The Army Painter,Warpaints Air,Pixie Pink,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Pixie Pink,,Warhammer Colour,,Emperor’s Children,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Bootstrap Brown,,The Army Painter,Original Warpaints,Werewolf Fur,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Prairie Ochre,,The Army Painter,Original Warpaints,Sulfide Ochre,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Prairie Ochre,,The Army Painter,Warpaints Air,Barren Yellow,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Prairie Ochre,,Warhammer Colour,,Tallarn Sand,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Tomb King Tan,,The Army Painter,Original Warpaints,Banshee Brown,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Tomb King Tan,,Warhammer Colour,,Karak Stone,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Fiendish Yellow,,The Army Painter,Original Warpaints,Fire Lizard,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Fiendish Yellow,,Warhammer Colour,,Averland Sunset,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Burning Ore,,The Army Painter,Original Warpaints,Mythical Orange,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Burning Ore,,The Army Painter,Warpaints Air,Archangel Red,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Burning Ore,,Warhammer Colour,,Troll Slayer Orange,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Angelic Red,,The Army Painter,Original Warpaints,Mars Red,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Angelic Red,,Warhammer Colour,,Wild Rider Red,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Tree Ancient,,The Army Painter,Original Warpaints,Dirt Spatter,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Tree Ancient,,Warhammer Colour,,Catachan Flesh,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Wyvern Fury,,The Army Painter,Original Warpaints,Vampire Red,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Wyvern Fury,,The Army Painter,Warpaints Air,Rebel Red,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Wyvern Fury,,Warhammer Colour,,Wazdakka Red,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Brigandine Brown,,The Army Painter,Original Warpaints,Hardened Carapace,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Brigandine Brown,,The Army Painter,Warpaints Air,Magnolia Brown,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Brigandine Brown,,Warhammer Colour,,Rhinox Hide,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Tundra Taupe,,The Army Painter,Original Warpaints,Venom Wyrm,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Tundra Taupe,,Warhammer Colour,,Deathworld Forest,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Dusty Skull,,Warhammer Colour,,Stormvermin Fur,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Demigod Flames,,Warhammer Colour,,Tau Light Ochre,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Molten Lava,,The Army Painter,Warpaints Air,Molten Orange,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Molten Lava,,Warhammer Colour,,Molten Orange,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Resplendent Red,,The Army Painter,Original Warpaints,Abomination Gore,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Resplendent Red,,Warhammer Colour,,Evil Sunz Scarlet,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Oak Brown,,The Army Painter,Original Warpaints,Oak Brown,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Oak Brown,,The Army Painter,Warpaints Air,Oak Brown,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Oak Brown,,Warhammer Colour,,Oak Brown,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Basilisk Red,,The Army Painter,Original Warpaints,Crusted Sore,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Basilisk Red,,The Army Painter,Warpaints Air,Chimera Red,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Basilisk Red,,Warhammer Colour,,Word Bearers Red,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Wicked Pink,,The Army Painter,Original Warpaints,Warlock Purple,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Wicked Pink,,The Army Painter,Warpaints Air,Warlock Purple,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Wicked Pink,,Warhammer Colour,,Pink Horor,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Pearl Skin,,The Army Painter,Original Warpaints,Mummy Robes,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Leopard Stone Skin,,The Army Painter,Original Warpaints,Centaur Skin,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,True Brass,,Warhammer Colour,,Canoptek Alloy,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Gemstone Red,,The Army Painter,Original Warpaints,Gemstone,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Gemstone Red,,The Army Painter,Warpaints Air,Gemstone,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Gemstone Red,,Warhammer Colour,,Gemstone,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Mithril,,Warhammer Colour,,Stormhost Silver,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Light Tone,,The Army Painter,Original Warpaints,Light Tone,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Magenta Tone,,Warhammer Colour,,Carroburg Crimson,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Strong Skin Shade,,The Army Painter,Original Warpaints,Strong Skin Wash,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Strong Skin Shade,,Warhammer Colour,,Reikland Fleshshade,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Opal Skin,,The Army Painter,Original Warpaints,Opal Skin,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Dorado Skin,,The Army Painter,Original Warpaints,Corpse Pale,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Dorado Skin,,Warhammer Colour,,Flayed One Flesh,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Weapon Bronze,,The Army Painter,Original Warpaints,Weapon Bronze,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Weapon Bronze,,The Army Painter,Warpaints Air,Weapon Bronze,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Weapon Bronze,,Warhammer Colour,,Brass Scorpion,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Shining Silver,,The Army Painter,Original Warpaints,Shining Silver,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Shining Silver,,The Army Painter,Warpaints Air,Shining Silver,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Shining Silver,,Warhammer Colour,,Runefang Steel,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Sepia Tone,,The Army Painter,Original Warpaints,Mid Brown,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Sepia Tone,,Warhammer Colour,,Seraphim Sepia,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Purple Tone,,The Army Painter,Original Warpaints,Purple Tone,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Purple Tone,,Warhammer Colour,,Druchii Violet,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Dark Skin Shade,,The Army Painter,Original Warpaints,Dark Skin Wash,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Dark Skin Shade,,Warhammer Colour,,Targor Rageshade,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Ruby Skin,,The Army Painter,Original Warpaints,Ruby Skin,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Jasper Skin,,The Army Painter,Original Warpaints,Dorado Skin,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Amber Skin,,The Army Painter,Original Warpaints,Amber Skin,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Amber Skin,,The Army Painter,Warpaints Air,Charred Bone,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Amber Skin,,Warhammer Colour,,Kislev Flesh,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,True Copper,,The Army Painter,Original Warpaints,True Copper,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,True Copper,,The Army Painter,Warpaints Air,True Copper,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,True Copper,,Warhammer Colour,,Balthasar Gold,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Cobalt Metal,,Warhammer Colour,,Grey Knights Steel,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Plate Mail Metal,,The Army Painter,Original Warpaints,Plate Mail Metal,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Plate Mail Metal,,The Army Painter,Warpaints Air,Plate Mail Metal,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Plate Mail Metal,,Warhammer Colour,,Iron Hands Steel,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Soft Tone,,The Army Painter,Original Warpaints,Soft Tone,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Blue Tone,,The Army Painter,Original Warpaints,Blue Tone,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Blue Tone,,Warhammer Colour,,Tyran Blue,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Orange Tone,,Warhammer Colour,,Fuegan Orange,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Barbarian Flesh,,The Army Painter,Original Warpaints,Barbarian Flesh,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Barbarian Flesh,,The Army Painter,Warpaints Air,Barbarian Flesh,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Barbarian Flesh,,Warhammer Colour,,Bestigor Flesh,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Topaz Skin,,The Army Painter,Original Warpaints,Topaz Skin,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Mocca Skin,,Warhammer Colour,,Steel Legion Drab,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Evil Chrome,,The Army Painter,Warpaints Air,Evil Chrome,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Evil Chrome,,Warhammer Colour,,Sycorax Bronze,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Bright Gold,,The Army Painter,Original Warpaints,Bright Gold,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Bright Gold,,The Army Painter,Warpaints Air,Bright Gold,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Bright Gold,,Warhammer Colour,,Auric Armour Gold,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Gun Metal,,The Army Painter,Original Warpaints,Gun Metal,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Gun Metal,,The Army Painter,Warpaints Air,Gun Metal,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Gun Metal,,Warhammer Colour,,Leadbelcher,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Dark Blue Tone,,Warhammer Colour,,Drakenhof Nightshade,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Red Tone,,The Army Painter,Original Warpaints,Red Tone,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Agate Skin,,Warhammer Colour,,Cadian Fleshtone,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Tiger’s Eye Skin,,The Army Painter,Original Warpaints,Tiger’s Eye Skin,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Tiger’s Eye Skin,,The Army Painter,Warpaints Air,Husk Brown,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Tiger’s Eye Skin,,Warhammer Colour,,Tuskgor Fur,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Onyx Skin,,Warhammer Colour,,Gorthor Brown,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Red Copper,,Warhammer Colour,,Screaming Bell,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Greedy Gold,,The Army Painter,Original Warpaints,Greedy Gold,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Greedy Gold,,The Army Painter,Warpaints Air,Greedy Gold,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Greedy Gold,,Warhammer Colour,,Retributor Armour,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Glittering Green,,The Army Painter,Original Warpaints,Glitter Green,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Glittering Green,,The Army Painter,Warpaints Air,Glitter Green,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Glittering Green,,Warhammer Colour,,Glitter Green,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Strong Tone,,The Army Painter,Original Warpaints,Strong Tone,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Strong Tone,,Warhammer Colour,,Agrax Earthshade,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Military Shade,,The Army Painter,Original Warpaints,Military Shader,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Military Shade,,Warhammer Colour,,Athonian Camoshade,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Dark Red Tone,,Warhammer Colour,,Berserker Bloodshade,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Moonstone Skin,,The Army Painter,Original Warpaints,Scar Tissue,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Carnelian Skin,,The Army Painter,Original Warpaints,Chaotic Red,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Carnelian Skin,,The Army Painter,Warpaints Air,Chaotic Red,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Carnelian Skin,,Warhammer Colour,,Bloodreaver Flesh,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Obsidian Skin,,The Army Painter,Original Warpaints,Onyx Skin,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Obsidian Skin,,Warhammer Colour,,Dryad Bark,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Rough Iron,,The Army Painter,Original Warpaints,Rough Iron,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Rough Iron,,The Army Painter,Warpaints Air,Rough Iron,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Rough Iron,,Warhammer Colour,,Warlock Bronze,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Tainted Gold,,The Army Painter,Original Warpaints,Tainted Gold,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Tainted Gold,,The Army Painter,Warpaints Air,Tainted Gold,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Tainted Gold,,Warhammer Colour,,Tainted Gold,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Dark Tone,,The Army Painter,Original Warpaints,Dark Tone,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Dark Tone,,Warhammer Colour,,Nuln Oil,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Green Tone,,The Army Painter,Original Warpaints,Green Tone,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Green Tone,,Warhammer Colour,,Biel-Tan Green,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
